"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-990473482-3039681256-539401488-12831","C:\Users\jump.cloud","IT001505","INNOVACCER\jump.cloud",""
"S-1-5-21-990473482-3039681256-539401488-11543","C:\Users\I1758","IT001505","INNOVACCER\I1758",""
"S-1-5-21-990473482-3039681256-539401488-12810","C:\Users\jc.test","IT001543","INNOVACCER\jc.test",""
"S-1-5-21-990473482-3039681256-539401488-9699","C:\Users\I1089","IT001594","INNOVACCER\I1089",""
"S-1-5-21-990473482-3039681256-539401488-12810","C:\Users\jc.test","IT001594","INNOVACCER\jc.test",""
"S-1-5-21-990473482-3039681256-539401488-10084","C:\Users\I1331","IT001853","INNOVACCER\I1331","bhuvnesh.singh"
"S-1-5-21-990473482-3039681256-539401488-12831","C:\Users\jump.cloud","IT001858","INNOVACCER\jump.cloud","qazi.osama"
"S-1-5-21-990473482-3039681256-539401488-12406","C:\Users\I2246","IT002407","INNOVACCER\I2246",""
"S-1-5-21-990473482-3039681256-539401488-11733","C:\Users\IN508","IT002407","INNOVACCER\IN508",""
"S-1-5-21-990473482-3039681256-539401488-12833","C:\Users\jump.test","IT002572","INNOVACCER\jump.test","nitesh.khandelwal"
"S-1-5-21-990473482-3039681256-539401488-12810","C:\Users\jc.test","IT003234","INNOVACCER\jc.test","shubham.das"
